term,phrase,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21,tag22,tag23,tag24,tag25,tag26,tag27,tag28,tag29,tag30,tag31,tag32,tag33,tag34,tag35,tag36,tag37,tag38,tag39,tag40,tag41,tag42,tag43,tag44,tag45,tag46,tag47,tag48,tag49,tag50,tag51,tag52,tag53,tag54,tag55,tag56,tag57,tag58,tag59,tag60,tag61,tag62,tag63,tag64,tag65,tag66,tag67,tag68,meaninglanguage1,meaning1,meaninglanguage2,meaning2
ermordet,...wenn... wenn Frau Beier ermordet worden ist?,verb,präsens,er/sie/es,ermorden,verb,präsens,er/sie/es,ermorden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"v. pp. to murder, assassinate, kill",,
werfe,"...meinem Geldbeutel ein Geldstück, werfe es ins Telefon und...",verb,ich,präsens,abwerfen,aufwerfen,auswerfen,einwerfen,umwerfen,unterwerfen,vorwerfen,wegwerfen,werfen,zuwerfen,verb,präsens,ich,werfen,aufwerfen,unterwerfen,zuwerfen,abwerfen,vorwerfen,einwerfen,umwerfen,wegwerfen,auswerfen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"v.  throw, cast, chuck, toss",,
erstellen,Das Erstellen von LingQs,verb,präsens,wir,Substantiv,verb,präsens,wir,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"creation, construction",,
küsste,...zu ihrer Mama und küsste sie wild.,verb,ich,indikativ,präteritum,abküssen,küssen,wachküssen,Substantiv,verb,indikativ,ich,präteritum,substantiv,wachküssen,abküssen,küssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,kissed,,
zurückhaltend,Nina ist sehr zurückhaltend.,verb,präsens,partizip,zurückhalten,Adjektiv,adjektiv,verb,präsens,partizip,zurückhalten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"adj.  reserved; cautious, guarded   /   reluctantly",,
polizeiwache,...Nachbarn Kapitel 4 Auf der Polizeiwache,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die) police station, precinct",,
unfall,,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(der) accident,,
geschäftlich,"...ist in der Schweiz, geschäftlich.",Adjektiv,Adverb,adjektiv,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,on business,,
hässlichen,"...Georg spricht in einem hässlichen, grauen Büro mit einem...",Adjektiv,adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,ugly,,
neugieriges,,Adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,curious,,
beobachter,Für einen Beobachter muss ganz klar sein...,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Observer (der),,
polizeibeamte,"...mit einem Polizisten. Der Polizeibeamte ist groß, blond und...",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(der) n. police officer, policeman, constable",,
wachtmeister,"Danke, Herr Wachtmeister.“ sagt Georg.",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"Sergeant, Constable, Officer",,
lügt,"Ich bin 16“, lügt Georg.",verb,präsens,er/sie/es,anlügen,lügen,umlügen,zusammenlügen,Substantiv,verb,präsens,substantiv,er/sie/es,lügen,zusammenlügen,anlügen,umlügen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"lügen = lie, tell an untruthful statement, cheat, tell a lie, tell untruth",,
pulver,Und... das Pulver?“,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(das) powder,,
toter,Beerdigung: ein Toter wird „unter die Erde...,Adjektiv,Substantiv,adjektiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(der) dead [person], body",,
beerdigung,...Nachmittag ist Frau Beiers Beerdigung.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die) funeral, burial",,
nah,...und seiner Wohnung liegen nah beieinander.“,Adjektiv,Substantiv,adjektiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"nearby, close at hand, near, close in time",,
beieinander,...seiner Wohnung liegen nah beieinander.“,Adjektiv,adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"together, side by side",,
tatort,...Indizien kannst du am Tatort finden.“ Die beiden Freunde...,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,crime scene (der),,
reinkommen,...wie willst du da reinkommen?“,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"come into, enter into",,
rauf,"Also, ich geh jetzt rauf.“",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"upward, to higher point",,
läuten,"Das Läuten kennst du doch, oder?“",verb,präsens,wir,anläuten,Substantiv,verb,präsens,wir,substantiv,anläuten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(das) Ring, sound, tone toll | v. to ring",,
treffpunkt,"Treffpunkt: vor dem Haus, um...",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(der) meeting point,,
stattfindet,"...nachmittag Frau Beiers Beerdigung stattfindet „Ja, Mama.“",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"to happen, to occur, to take place",,
läute,"...ich den Beier sehe, läute ich zweimal mit meiner...",verb,ich,präsens,anläuten,läuten,verb,präsens,ich,anläuten,läuten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,läuten: to ring / to chime ( a bell ),,
umschläge,"...dem Schreibtisch liegen Papier, Umschläge und Briefe.",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Umschlag (der)  = envelope,,
lebewohl,Lebewohl zu sagen?“,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(das) farewell, goodbye",,
witz,"...gut, war nur ein Witz. Ich komme ja mit.",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"joke, gag",,
beweist,"...an sich noch nichts beweist, ist das doch immerhin...",verb,präsens,du,beweisen,verb,präsens,du,beweisen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,proves,,
umschlag,"...liegt ein großer, brauner Umschlag.",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(der) envelope,,
testament,Er liest sie: ein Testament!,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(das) last will,,
aufgebrochen,hast du die Schublade aufgebrochen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,"3) отправляться, выступать, собираться (в путь, в дорогу, в поход))\взломанный, вскрытый, отправившийся\1) взламывать; открывать силой; воен. прорывать (напр., оборону)",,
zugesehen,,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,"zusehen*  1) (D) смотреть, глядеть (на кого-л, на что-л); наблюдать, следить (за кем-л, за чем-л)  2) рассматривать  3) смотреть (и ничего не делать)  4) стараться (принимать меры)",,
hergekommen,"Da bist du doch hergekommen, oder",Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uk,"приходити, прийти",,
herumgeht,Beier in der Wohnung herumgeht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,walking around,,
nachdenklich,,Adjektiv,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"contemplatively, thoughtfully",,
da runter,Komm sofort da runter!“ schreit er,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,get down there,,
rechtzeitig,,Adjektiv,Adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,in time,,
miese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,lousy,,
verhaftet,,verb,präsens,er/sie/es,verhaften,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"arrested, detained, imprisoned",,
da habe ich schwein gehabt,"schnell, „ich wollte sagen: da habe ich Schwein gehabt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,lit: “I had pig”; Idiomatic for “I got lucky.” (Pigs are associated with prosperity in Germany),,
kassiert,eine halbe Million Mark kassiert,verb,präsens,er/sie/es,abkassieren,kassieren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"collected, cashed, took the money",,
mord,"Er hat den Mord so geplant, dass man",Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(der) murder,,
todes,seine Frau keines natürlichen Todes gestorben ist,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"Tod (der) nm. death, end of life",,
vergiften,,verb,präsens,wir,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,яд,,
neulich,,Adverb,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,"недавно, на днях",,
wirkt,"Dieses Gift wirkt nicht sofort, sondern erst",verb,präsens,er/sie/es,auswirken,einwirken,entgegenwirken,mitwirken,wirken,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"it works, seems (wirken)",,
verhören,,verb,präsens,wir,verrohren,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,допросы,,
verbrecher,,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,преступник,,
verspricht,,verb,präsens,er/sie/es,versprechen,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,обещает,,
schlägt die zeitung auf,Sein Vater schlägt die Zeitung auf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,opens the newspaper,,
halskette,Kapitel 1: Eine komische Halskette,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die, -n) n. necklace",,
neugierige,Das neugierige Kind,Adjektiv,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"curious, inquisitive",,
schließfach,...stellen Sie in ein Schließfach am Münchner Hauptbahnhof.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(das, -:er) locker, lockable storage compartment",,
gesammelt,werden all Ihre Fehler gesammelt,Adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"collected, gathered together from different places",,
türspion,"Er guckt durch den Türspion: ein Mann, sein Nachbar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(der) Peephole,,
fressalien,um sich noch mehr Fressalien zu holen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die, pl.) food",,
verbringen,"Möglichkeiten, schöne Zeit zu verbringen",verb,präsens,wir,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,spend time,,
vorstellung,dem Haus gegangen - die Vorstellung fängt um acht an,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die) idea, imagination, notion, introduction; performance, show",,
verschwitzt,"und gefragt, warum ich verschwitzt bin",Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,adj.  sweaty,,
verschlang,Der Wolf verschlang das Hinterteil wie ein...,verb,ich,indikativ,präteritum,verschlingen,verb,indikativ,verschlingen,ich,präteritum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,swallowed,,
vorbeigelaufen,ich an einem Spielplatz vorbeigelaufen,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"run past, walked by",,
beschließt,Er beschließt zu Hause zu bleiben...,verb,präsens,du,beschließen,verb,präsens,beschließen,du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,decides,,
außerhalb,...einem kleinen Dorf etwas außerhalb Freiburgs:,Substantiv,Präposition,präposition,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"adv. exteriorly, externally, on the outside,",,
anstelle,Anstelle des Pferdes steckte nun...,Substantiv,Präposition,präposition,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,instead of,,
verbringe,Ich verbringe gerne Zeit mit ihr,verb,ich,präsens,verbringen,Adjektiv,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"spend, while",,
plombe,...nicht aus wie eine Plombe?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,seal,,
da stimmt doch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,that's true,,
eigene faust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,on your own,,
eigenartig,,Adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,peculiar,,
da bleibt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,stays there,,
auffällig,...Sie das ein bisschen auffällig!,Adjektiv,adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"noticeable, obvious",,
streicht,Emma streicht sich die Haare aus...,verb,präsens,er/sie/es,anstreichen,durchstreichen,hellstreichen,streichen,unterstreichen,verb,präsens,er/sie/es,durchstreichen,hellstreichen,anstreichen,unterstreichen,streichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(transitive) to stroke
(transitive) to cancel; to discard; to delete; to strike out; to cross out
(transitive) to spread; to rub; to apply
(transitive) to paint",,
vorgestellt,...meinem Mann noch nicht vorgestellt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"imagined;  introduced, presented",,
stell dir vor,"Stell dir vor, du nimmst mir Minka...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,just imagine,,
melden,"Die Entführer melden sich sicherlich bald.""",verb,präsens,wir,abmelden,anmelden,krankmelden,zurückmelden,Substantiv,verb,präsens,anmelden,wir,substantiv,zurückmelden,krankmelden,abmelden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"notify, inform, tell",,
verzweifelt,Verzweifelt hält Nina ihre Hände...,verb,präsens,er/sie/es,verzweifeln,Adjektiv,Adverb,adjektiv,verb,präsens,adverb,er/sie/es,verzweifeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"desperate, hopeless",,
entführung,"...Sie gleich an eine Entführung?""",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,abduction,,
versteck,...bringst sie in ein Versteck und sagst zu mir...,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(das) hide, hiding place, hideout; shelter",,
küssten,Sie küssten Frau von Briest die...,verb,wir,indikativ,präteritum,abküssen,küssen,wachküssen,Substantiv,verb,indikativ,wir,präteritum,substantiv,wachküssen,abküssen,küssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,kissed,,
badeort,"...hier, das ist ein Badeort in Hinterpommern.“",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(der) sea resort, mineral/spring resort",,
sichtbar,...rotblonden Köpfe der Zwillinge sichtbar.,Adjektiv,adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"adj. seeable, viewable, can be seen, visible, apparent",,
umziehen,"...dich eigentlich gar nicht umziehen, du siehst gerade sehr...",verb,präsens,wir,verb,präsens,wir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"move, change residence; change clothes",,
sprangen,Dann sprangen die beiden Schwestern wieder...,verb,wir,indikativ,präteritum,abspringen,aufspringen,beispringen,springen,umherspringen,Substantiv,verb,indikativ,wir,präteritum,substantiv,springen,beispringen,aufspringen,umherspringen,abspringen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"springen v. jump, leap, spring, vault, pounce, bounce, hop; crack, split, burst",,
vorgestern,"Du hast ihn vorgestern gesehen, und ich glaube...",Adverb,Substantiv,adverb,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,the day before yesterday,,
verdienst,"Du verdienst es nicht anders!""",verb,präsens,du,verdienen,Substantiv,verb,präsens,du,substantiv,verdienen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(du) v. earn, deserve",,
sie starrt,Sie starrt ihn an.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,she stares,,
bewegen,...ich kann mich nicht bewegen.,verb,präsens,wir,fortbewegen,Substantiv,verb,präsens,wir,substantiv,fortbewegen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"budge, move, shift",,
waldhütte,Kapitel 3: In der Waldhütte,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(der, -n) forest hut",,
tut weh,Sein Kopf tut weh.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,etw. ~ - smth is painful.,,
weh,Sein Kopf tut weh.,Adjektiv,Substantiv,adjektiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(das, -e) n.: woe, pain, ache; grief, sadness. adj.: sore, painful, aching",,
von hinten,"...hat mich schnell gepackt, von hinten.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"from behind, from the rear",,
zugehalten,...er mir mit etwas zugehalten.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"v. perf. shut, locked, held closed",,
blödsinn,"Was für ein Blödsinn, dieser Sack!",Adjektiv,Substantiv,adjektiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(der) nonsense, stupid, making no sense, senselessness,",,
gerochen,Es hat gerochen wie beim Zahnarzt...,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,smelled,,
bettdecke,...den Jungen mit einer Bettdecke zu und bleibt bei...,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die, -n) blanket, bedspread, bed cover",,
also,So ist Georg heute also (fast) allein zu Hause,Adverb,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,in other words,,
verlobungsmahl,Beim Verlobungsmahl sagte Vater von Briest...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Engagement feast,,
hochzeit,...Briest mit ihm: die Hochzeit und die Ausstattung des...,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die) wedding, marriage",,
folgenden,Innstetten reiste schon am folgenden Tag wieder ab.,Adjektiv,Substantiv,adjektiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,the following,,
eilte,Nach dem Verlobungsmahl eilte Effi zu Hulda.,verb,ich,indikativ,präteritum,davoneilen,eilen,forteilen,herbeieilen,heylen,vorauseilen,verb,indikativ,ich,präteritum,eilen,herbeieilen,forteilen,heylen,davoneilen,vorauseilen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"hurried, rushed",,
ernsten,Die ernsten Dinge besprach Frau von...,Adjektiv,adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"ernst adj. grave, serious, earnest, solemn, severe",,
du bist schon selbst schuld,Du bist schon selbst schuld!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,you have only yourself to blame,,
mistwetter,"So ein Mistwetter, jetzt regnet es auch...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"crappy weather, foul weather",,
waschanlage,"...das Auto durch die Waschanlage fahren"", denkt Bene.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Car wash,,
hart,...Händen nimmt er sie hart an den Schultern.,Adjektiv,Substantiv,adjektiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"hard, tough",,
erlaubt,"Wer hat dir das erlaubt?""",verb,präsens,er/sie/es,erlauben,Adjektiv,Substantiv,adjektiv,verb,präsens,substantiv,er/sie/es,erlauben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(pp) allowed, permitted, permissible; allowedly",,
zitternder,"Leise, mit zitternder Stimme sagt sie: „Du...",Adjektiv,Substantiv,adjektiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,trembling,,
mitgemacht,"Nur deshalb habe ich mitgemacht!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,be involved in,,
